Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_time,Red_time,Final_time
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
6,11,0.005,5.0,2.0,3.85,7.050000000000001,10.9
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
2,11,0.005,5.0,2.0,3.45,6.15,9.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
17,11,0.005,5.0,2.0,3.5500000000000003,6.300000000000001,9.85
7,11,0.005,5.0,2.0,3.9,6.7,10.6
3,11,0.005,5.0,2.0,3.75,6.5,10.25
3,11,0.005,5.0,2.0,3.75,6.5,10.25
5,11,0.005,5.0,2.0,3.5,6.2,9.7
3,11,0.005,5.0,2.0,3.75,6.5,10.25
5,11,0.005,5.0,2.0,3.5,6.2,9.7
3,11,0.005,5.0,2.0,3.75,6.5,10.25
5,11,0.005,5.0,2.0,3.5,6.2,9.7
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
15,11,0.005,5.0,2.0,3.6,6.15,9.75
