Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_95_time,Blue_time,Red_95_time,Red_time,Door_closing_time,NotCrossed_atClose,Final_time
2,5,0.005,5.0,2.0,14.16000000000001,14.16000000000001,19.920000000000016,20.640000000000015,2000.0,0,20.640000000000015
4,5,0.005,5.0,2.0,27.47999999999994,27.47999999999994,32.879999999999825,35.39999999999977,2000.0,0,35.39999999999977
3,5,0.005,5.0,2.0,2000.0,2000.0,36.599999999999746,38.39999999999971,2000.0,0,2000.0
5,5,0.005,5.0,2.0,1.6799999999999997,1.6799999999999997,11.160000000000007,11.520000000000007,2000.0,0,11.520000000000007
1,5,0.005,5.0,2.0,0.12,0.12,8.040000000000004,10.320000000000007,2000.0,0,10.320000000000007
2,5,0.005,5.0,2.0,14.16000000000001,14.16000000000001,19.920000000000016,20.640000000000015,2000.0,0,20.640000000000015
4,5,0.005,5.0,2.0,27.47999999999994,27.47999999999994,32.879999999999825,35.39999999999977,2000.0,0,35.39999999999977
3,5,0.005,5.0,2.0,2000.0,2000.0,36.599999999999746,38.39999999999971,2000.0,0,2000.0
5,5,0.005,5.0,2.0,1.6799999999999997,1.6799999999999997,11.160000000000007,11.520000000000007,2000.0,0,11.520000000000007
1,5,0.005,5.0,2.0,0.12,0.12,8.040000000000004,10.320000000000007,2000.0,0,10.320000000000007
2,5,0.005,5.0,2.0,14.16000000000001,14.16000000000001,19.920000000000016,20.640000000000015,2000.0,0,20.640000000000015
4,5,0.005,5.0,2.0,27.47999999999994,27.47999999999994,32.879999999999825,35.39999999999977,2000.0,0,35.39999999999977
3,5,0.005,5.0,2.0,2000.0,2000.0,36.599999999999746,38.39999999999971,2000.0,0,2000.0
5,5,0.005,5.0,2.0,1.6799999999999997,1.6799999999999997,11.160000000000007,11.520000000000007,2000.0,0,11.520000000000007
1,5,0.005,5.0,2.0,0.12,0.12,8.040000000000004,10.320000000000007,2000.0,0,10.320000000000007
2,5,0.005,5.0,2.0,14.16000000000001,14.16000000000001,19.920000000000016,20.640000000000015,2000.0,0,20.640000000000015
4,5,0.005,5.0,2.0,27.47999999999994,27.47999999999994,32.879999999999825,35.39999999999977,2000.0,0,35.39999999999977
3,5,0.005,5.0,2.0,2000.0,2000.0,36.599999999999746,38.39999999999971,2000.0,0,2000.0
5,5,0.005,5.0,2.0,1.6799999999999997,1.6799999999999997,11.160000000000007,11.520000000000007,2000.0,0,11.520000000000007
1,5,0.005,5.0,2.0,0.12,0.12,8.040000000000004,10.320000000000007,2000.0,0,10.320000000000007
2,5,0.005,5.0,2.0,14.16000000000001,14.16000000000001,19.920000000000016,20.640000000000015,2000.0,0,20.640000000000015
4,5,0.005,5.0,2.0,27.47999999999994,27.47999999999994,32.879999999999825,35.39999999999977,2000.0,0,35.39999999999977
3,5,0.005,5.0,2.0,2000.0,2000.0,36.599999999999746,38.39999999999971,2000.0,0,2000.0
3,5,0.005,5.0,2.0,0.12,0.12,5.520000000000003,6.000000000000003,2000.0,0,6.000000000000003
3,5,0.005,5.0,2.0,0.12,0.12,5.520000000000003,6.000000000000003,2000.0,0,6.000000000000003
1,5,0.005,5.0,2.0,12.72000000000001,12.72000000000001,19.200000000000014,19.680000000000014,2000.0,0,19.680000000000014
2,5,0.005,5.0,2.0,2000.0,2000.0,25.799999999999976,26.879999999999953,2000.0,0,2000.0
3,5,0.005,5.0,2.0,0.12,0.12,5.520000000000003,6.000000000000003,2000.0,0,6.000000000000003
1,5,0.005,5.0,2.0,12.72000000000001,12.72000000000001,19.200000000000014,19.680000000000014,2000.0,0,19.680000000000014
2,5,0.005,5.0,2.0,2000.0,2000.0,25.799999999999976,26.879999999999953,2000.0,0,2000.0
